algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,300,56,3,1,50,4,3.55,6.2,13,AAPL,close
lstm_stacked_memory,300,50,3,7,50,5,5.34,9.32,10,AAPL,close
lstm_stacked_memory,600,116,3,1,50,4,3.37,10.7,17,AAPL,close
lstm_stacked_memory,600,110,3,7,50,5,5.34,11.74,20,AAPL,close
lstm_stacked_memory,900,176,3,1,50,4,2.83,6.3,49,AAPL,close
lstm_stacked_memory,900,170,3,7,50,5,8.48,15.33,37,AAPL,close
lstm_stacked_memory,1200,236,3,1,50,4,19.36,4.52,59,AAPL,close
lstm_stacked_memory,1200,230,3,7,50,5,46.61,17.12,51,AAPL,close
lstm_stacked_memory,1500,296,3,1,50,4,27.72,13.32,78,AAPL,close
lstm_stacked_memory,1500,290,3,7,50,5,51.73,25.34,65,AAPL,close
lstm_stacked_memory,300,52,7,1,50,4,3.39,5.48,34,AAPL,close
lstm_stacked_memory,300,46,7,7,50,2,5.88,6.62,55,AAPL,close
lstm_stacked_memory,600,112,7,1,50,4,3.48,7.01,58,AAPL,close
lstm_stacked_memory,600,106,7,7,50,2,7.02,11.56,104,AAPL,close
lstm_stacked_memory,900,172,7,1,50,4,5.33,15.01,88,AAPL,close
lstm_stacked_memory,900,166,7,7,50,2,7.91,11.75,163,AAPL,close
lstm_stacked_memory,1200,232,7,1,50,4,21.25,5.41,111,AAPL,close
lstm_stacked_memory,1200,226,7,7,50,2,46.24,6.44,187,AAPL,close
lstm_stacked_memory,1500,292,7,1,50,4,28.52,9.43,125,AAPL,close
lstm_stacked_memory,1500,286,7,7,50,2,54.73,20.77,248,AAPL,close
lstm_stacked_memory,300,45,14,1,50,5,3.58,5.72,47,AAPL,close
lstm_stacked_memory,300,39,14,7,50,3,5.27,6.4,69,AAPL,close
lstm_stacked_memory,600,105,14,1,50,5,4.46,6.26,69,AAPL,close
lstm_stacked_memory,600,99,14,7,50,9,5.11,8.03,64,AAPL,close
lstm_stacked_memory,900,165,14,1,50,5,2.49,3.61,121,AAPL,close
lstm_stacked_memory,900,159,14,7,50,3,7.75,13.83,166,AAPL,close
lstm_stacked_memory,1200,225,14,1,50,15,31.67,9.46,81,AAPL,close
lstm_stacked_memory,1200,219,14,7,50,3,47.97,11.92,246,AAPL,close
lstm_stacked_memory,1500,285,14,1,50,15,64.24,27.11,89,AAPL,close
lstm_stacked_memory,1500,279,14,7,50,9,62.19,26.16,136,AAPL,close
lstm_stacked_memory,300,31,28,1,50,1,3.65,2.94,278,AAPL,close
lstm_stacked_memory,300,25,28,7,50,5,5.12,7.43,72,AAPL,close
lstm_stacked_memory,600,91,28,1,50,1,3.32,9.17,517,AAPL,close
lstm_stacked_memory,600,85,28,7,50,5,5.01,9.22,133,AAPL,close
lstm_stacked_memory,900,151,28,1,50,1,6.07,4.3,820,AAPL,close
lstm_stacked_memory,900,145,28,7,50,5,8.26,8.04,199,AAPL,close
lstm_stacked_memory,1200,211,28,1,50,1,22.66,3.95,1017,AAPL,close
lstm_stacked_memory,1200,205,28,7,50,5,47.89,9.91,237,AAPL,close
lstm_stacked_memory,1500,271,28,1,50,1,40.28,4.8,29058,AAPL,close
