algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,300,56,3,1,50,4,2.16,3.49,13,AAPL,close
lstm_time_steps,300,50,3,7,50,5,4.64,7.51,13,AAPL,close
lstm_time_steps,600,116,3,1,50,4,2.19,3.73,24,AAPL,close
lstm_time_steps,600,110,3,7,50,5,4.4,7.24,18,AAPL,close
lstm_time_steps,900,176,3,1,50,4,2.01,2.87,32,AAPL,close
lstm_time_steps,900,170,3,7,50,5,4.41,6.5,31,AAPL,close
lstm_time_steps,1200,236,3,1,50,4,22.12,11.9,42,AAPL,close
lstm_time_steps,1200,230,3,7,50,5,44.98,21.62,36,AAPL,close
lstm_time_steps,1500,296,3,1,50,4,20.21,6.62,65,AAPL,close
lstm_time_steps,1500,290,3,7,50,5,45.59,5.8,42,AAPL,close
lstm_time_steps,300,52,7,1,50,4,2.78,4.51,20,AAPL,close
lstm_time_steps,300,46,7,7,50,2,4.82,7.42,31,AAPL,close
lstm_time_steps,600,112,7,1,50,4,2.38,4.5,34,AAPL,close
lstm_time_steps,600,106,7,7,50,2,4.55,7.01,71,AAPL,close
lstm_time_steps,900,172,7,1,50,4,1.9,3.01,53,AAPL,close
lstm_time_steps,900,166,7,7,50,2,4.46,6.89,109,AAPL,close
lstm_time_steps,1200,232,7,1,50,4,19.13,2.53,79,AAPL,close
lstm_time_steps,1200,226,7,7,50,2,29.68,10.07,159,AAPL,close
lstm_time_steps,1500,292,7,1,50,4,18.43,5.85,100,AAPL,close
lstm_time_steps,1500,286,7,7,50,2,44.41,8.87,183,AAPL,close
lstm_time_steps,300,45,14,1,50,5,2.21,3.33,18,AAPL,close
lstm_time_steps,300,39,14,7,50,3,4.76,6.12,40,AAPL,close
lstm_time_steps,600,105,14,1,50,5,1.88,3.06,52,AAPL,close
lstm_time_steps,600,99,14,7,50,9,5.03,8.12,26,AAPL,close
lstm_time_steps,900,165,14,1,50,5,2.41,4.07,68,AAPL,close
lstm_time_steps,900,159,14,7,50,3,4.31,7.14,119,AAPL,close
lstm_time_steps,1200,225,14,1,50,15,25.52,7.2,40,AAPL,close
lstm_time_steps,1200,219,14,7,50,3,44.58,8.99,131,AAPL,close
lstm_time_steps,1500,285,14,1,50,15,23.13,6.06,38,AAPL,close
lstm_time_steps,1500,279,14,7,50,9,45.24,7.13,61,AAPL,close
lstm_time_steps,300,31,28,1,50,1,1.83,2.92,169,AAPL,close
lstm_time_steps,300,25,28,7,50,5,4.92,7.03,34,AAPL,close
lstm_time_steps,600,91,28,1,50,1,1.78,3.58,368,AAPL,close
lstm_time_steps,600,85,28,7,50,5,4.61,9.29,90,AAPL,close
lstm_time_steps,900,151,28,1,50,1,1.71,3.28,558,AAPL,close
lstm_time_steps,900,145,28,7,50,5,4.47,6.62,117,AAPL,close
lstm_time_steps,1200,211,28,1,50,1,18.04,3.09,832,AAPL,close
lstm_time_steps,1200,205,28,7,50,5,47.27,9.41,184,AAPL,close
lstm_time_steps,1500,271,28,1,50,1,17.18,2.57,988,AAPL,close
lstm_time_steps,1500,265,28,7,50,5,45.14,7.3,216,AAPL,close
lstm_time_steps,300,29,30,1,50,1,2.0,3.22,213,AAPL,close
lstm_time_steps,300,23,30,7,50,1,4.88,6.56,203,AAPL,close
lstm_time_steps,600,89,30,1,50,1,1.69,3.2,376,AAPL,close
lstm_time_steps,600,83,30,7,50,1,4.27,7.6,28069,AAPL,close
lstm_time_steps,900,149,30,1,50,1,1.75,2.56,748,AAPL,close
lstm_time_steps,900,143,30,7,50,1,4.32,7.54,575,AAPL,close
lstm_time_steps,1200,209,30,1,50,1,18.04,2.47,606,AAPL,close
lstm_time_steps,1200,203,30,7,50,1,43.24,8.36,632,AAPL,close
lstm_time_steps,1500,269,30,1,50,1,17.27,2.46,683,AAPL,close
lstm_time_steps,1200,179,60,1,100,1,17.71,6.43,1842,AAPL,close
lstm_time_steps,1200,173,60,7,100,1,30.26,16.87,1832,AAPL,close
lstm_time_steps,1500,239,60,1,50,1,17.63,3.36,1200,AAPL,close
lstm_time_steps,1500,233,60,7,50,1,47.18,10.72,1115,AAPL,close
