algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,300,56,3,1,10,4,4.19,4.74,2,AAPL,close
lstm_lookback_window,300,50,3,7,10,5,7.24,9.35,2,AAPL,close
lstm_lookback_window,600,116,3,1,10,4,1.87,2.88,3,AAPL,close
lstm_lookback_window,600,110,3,7,10,5,4.27,6.88,2,AAPL,close
lstm_lookback_window,900,176,3,1,10,4,1.92,3.27,4,AAPL,close
lstm_lookback_window,900,170,3,7,10,5,4.79,8.72,4,AAPL,close
lstm_lookback_window,300,52,7,1,10,4,4.21,5.71,3,AAPL,close
lstm_lookback_window,300,46,7,7,10,2,4.84,7.79,3,AAPL,close
lstm_lookback_window,600,112,7,1,10,4,2.54,3.97,3,AAPL,close
lstm_lookback_window,600,106,7,7,10,2,5.07,7.95,4,AAPL,close
lstm_lookback_window,900,172,7,1,10,4,2.89,8.23,4,AAPL,close
lstm_lookback_window,900,166,7,7,10,2,4.79,6.92,7,AAPL,close
lstm_lookback_window,300,45,14,1,10,5,3.55,5.51,2,AAPL,close
lstm_lookback_window,300,39,14,7,10,3,5.6,6.48,2,AAPL,close
lstm_lookback_window,600,105,14,1,10,5,3.77,6.07,3,AAPL,close
lstm_lookback_window,600,99,14,7,10,9,5.6,9.5,2,AAPL,close
lstm_lookback_window,900,165,14,1,10,5,2.22,3.55,3,AAPL,close
lstm_lookback_window,900,159,14,7,10,3,4.7,6.84,5,AAPL,close
lstm_lookback_window,300,31,28,1,10,1,2.65,4.36,5,AAPL,close
lstm_lookback_window,300,25,28,7,10,5,5.49,5.64,2,AAPL,close
lstm_lookback_window,600,91,28,1,10,1,2.26,5.01,9,AAPL,close
lstm_lookback_window,600,85,28,7,10,5,5.31,7.57,3,AAPL,close
lstm_lookback_window,900,151,28,1,10,1,2.3,4.15,12,AAPL,close
lstm_lookback_window,900,145,28,7,10,5,5.45,11.05,4,AAPL,close
lstm_lookback_window,300,56,3,1,40,4,2.37,3.86,5,AAPL,close
lstm_lookback_window,300,50,3,7,40,5,4.58,7.37,5,AAPL,close
lstm_lookback_window,600,116,3,1,40,4,1.77,3.03,10,AAPL,close
lstm_lookback_window,600,110,3,7,40,5,4.34,6.6,8,AAPL,close
lstm_lookback_window,900,176,3,1,40,4,1.81,3.43,13,AAPL,close
lstm_lookback_window,900,170,3,7,40,5,4.44,6.75,12,AAPL,close
lstm_lookback_window,300,52,7,1,40,4,2.24,3.49,6,AAPL,close
lstm_lookback_window,300,46,7,7,40,2,4.83,7.1,9,AAPL,close
