algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,300,56,3,1,10,4,4.26,9.43,6,AAPL,close
lstm_stacked_memory,300,50,3,7,10,5,6.01,14.39,6,AAPL,close
lstm_stacked_memory,600,116,3,1,10,4,3.6,12.66,12,AAPL,close
lstm_stacked_memory,600,110,3,7,10,5,5.86,16.08,11,AAPL,close
lstm_stacked_memory,900,176,3,1,10,4,5.82,14.86,20,AAPL,close
lstm_stacked_memory,900,170,3,7,10,5,11.76,14.39,17,AAPL,close
lstm_stacked_memory,300,52,7,1,10,4,3.29,5.53,16,AAPL,close
lstm_stacked_memory,300,46,7,7,10,2,6.51,7.0,18,AAPL,close
lstm_stacked_memory,600,112,7,1,10,4,4.12,9.79,20,AAPL,close
lstm_stacked_memory,600,106,7,7,10,2,9.55,12.83,28,AAPL,close
lstm_stacked_memory,900,172,7,1,10,4,4.78,10.81,32,AAPL,close
lstm_stacked_memory,900,166,7,7,10,2,13.14,16.19,45,AAPL,close
lstm_stacked_memory,300,45,14,1,10,5,4.03,5.78,31,AAPL,close
lstm_stacked_memory,300,39,14,7,10,3,5.91,6.44,36,AAPL,close
lstm_stacked_memory,600,105,14,1,10,5,4.37,12.76,30,AAPL,close
lstm_stacked_memory,600,99,14,7,10,9,5.33,10.98,41,AAPL,close
lstm_stacked_memory,900,165,14,1,10,5,6.18,14.83,55,AAPL,close
lstm_stacked_memory,900,159,14,7,10,3,11.33,18.8,53,AAPL,close
lstm_stacked_memory,300,31,28,1,10,1,7.5,5.44,69,AAPL,close
lstm_stacked_memory,300,25,28,7,10,5,6.81,4.21,35,AAPL,close
lstm_stacked_memory,600,91,28,1,10,1,7.89,13.21,121,AAPL,close
lstm_stacked_memory,600,85,28,7,10,5,5.95,7.92,49,AAPL,close
lstm_stacked_memory,900,151,28,1,10,1,13.62,7.46,195,AAPL,close
lstm_stacked_memory,900,145,28,7,10,5,11.67,10.27,68,AAPL,close
lstm_stacked_memory,300,56,3,1,40,4,3.51,7.08,47,AAPL,close
lstm_stacked_memory,300,50,3,7,40,5,5.38,12.3,45,AAPL,close
lstm_stacked_memory,600,116,3,1,40,4,5.06,14.07,61,AAPL,close
lstm_stacked_memory,600,110,3,7,40,5,5.64,17.09,68,AAPL,close
lstm_stacked_memory,900,176,3,1,40,4,4.0,13.59,91,AAPL,close
lstm_stacked_memory,900,170,3,7,40,5,8.57,16.74,86,AAPL,close
lstm_stacked_memory,300,52,7,1,40,4,3.46,5.95,85,AAPL,close
lstm_stacked_memory,300,46,7,7,40,2,5.82,6.82,82,AAPL,close
lstm_stacked_memory,600,112,7,1,40,4,2.98,5.52,103,AAPL,close
lstm_stacked_memory,600,106,7,7,40,2,6.66,13.48,149,AAPL,close
lstm_stacked_memory,900,172,7,1,40,4,2.64,3.87,115,AAPL,close
lstm_stacked_memory,900,166,7,7,40,2,8.8,14.42,209,AAPL,close
lstm_stacked_memory,300,45,14,1,40,5,3.63,5.69,90,AAPL,close
lstm_stacked_memory,300,39,14,7,40,3,5.5,6.63,112,AAPL,close
lstm_stacked_memory,600,105,14,1,40,5,3.85,6.3,109,AAPL,close
lstm_stacked_memory,600,99,14,7,40,9,5.3,11.0,54,AAPL,close
lstm_stacked_memory,900,165,14,1,40,5,4.93,9.37,95,AAPL,close
lstm_stacked_memory,900,159,14,7,40,3,8.65,13.67,143,AAPL,close
lstm_stacked_memory,300,31,28,1,40,1,3.56,2.99,222,AAPL,close
lstm_stacked_memory,300,25,28,7,40,5,5.28,7.09,85,AAPL,close
lstm_stacked_memory,600,91,28,1,40,1,3.95,9.94,442,AAPL,close
lstm_stacked_memory,600,85,28,7,40,5,4.95,8.88,130,AAPL,close
lstm_stacked_memory,900,151,28,1,40,1,5.57,4.28,782,AAPL,close
lstm_stacked_memory,900,145,28,7,40,5,9.23,8.62,182,AAPL,close
lstm_stacked_memory,300,56,3,1,30,4,3.61,7.49,49,AAPL,close
lstm_stacked_memory,300,50,3,7,30,5,5.54,13.88,58,AAPL,close
lstm_stacked_memory,600,116,3,1,30,4,3.69,10.82,68,AAPL,close
lstm_stacked_memory,600,110,3,7,30,5,5.38,15.85,55,AAPL,close
lstm_stacked_memory,900,176,3,1,30,4,3.59,11.39,80,AAPL,close
lstm_stacked_memory,900,170,3,7,30,5,10.1,14.38,80,AAPL,close
lstm_stacked_memory,300,52,7,1,30,4,3.65,6.27,74,AAPL,close
lstm_stacked_memory,300,46,7,7,30,2,6.15,7.17,91,AAPL,close
lstm_stacked_memory,600,112,7,1,30,4,4.08,8.85,55,AAPL,close
lstm_stacked_memory,600,106,7,7,30,2,8.37,12.23,92,AAPL,close
lstm_stacked_memory,900,172,7,1,30,4,5.3,15.42,108,AAPL,close
lstm_stacked_memory,900,166,7,7,30,2,9.02,16.47,146,AAPL,close
