algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,1500,292,7,1,10,4,14.37,162.69,11,AMZN,close
lstm_time_steps,1500,286,7,7,10,2,23.49,96.22,27,AMZN,close
lstm_time_steps,1500,292,7,1,10,4,14.37,162.72,11,AMZN,close
lstm_time_steps,1500,286,7,7,10,2,23.49,96.22,29,AMZN,close
lstm_time_steps,300,56,3,1,10,4,2.53,3.75,3,AAPL,close
lstm_time_steps,300,50,3,7,10,5,7.96,10.68,3,AAPL,close
lstm_time_steps,600,116,3,1,10,4,2.03,3.87,7,AAPL,close
lstm_time_steps,600,110,3,7,10,5,4.46,6.79,5,AAPL,close
lstm_time_steps,900,176,3,1,10,4,2.29,4.12,8,AAPL,close
lstm_time_steps,900,170,3,7,10,5,4.5,6.57,10,AAPL,close
lstm_time_steps,300,52,7,1,10,4,2.57,4.24,6,AAPL,close
lstm_time_steps,300,46,7,7,10,2,4.97,7.47,10,AAPL,close
lstm_time_steps,600,112,7,1,10,4,2.87,7.42,9,AAPL,close
lstm_time_steps,600,106,7,7,10,2,4.75,6.83,16,AAPL,close
lstm_time_steps,900,172,7,1,10,4,2.59,3.77,13,AAPL,close
lstm_time_steps,900,166,7,7,10,2,4.86,8.45,23,AAPL,close
lstm_time_steps,300,45,14,1,10,5,4.62,6.65,8,AAPL,close
lstm_time_steps,300,39,14,7,10,3,5.05,6.11,11,AAPL,close
lstm_time_steps,600,105,14,1,10,5,3.48,6.77,11,AAPL,close
lstm_time_steps,600,99,14,7,10,9,5.63,6.94,11,AAPL,close
lstm_time_steps,900,165,14,1,10,5,2.87,7.61,15,AAPL,close
lstm_time_steps,900,159,14,7,10,3,4.89,11.75,29,AAPL,close
lstm_time_steps,300,31,28,1,10,1,2.74,3.81,35,AAPL,close
lstm_time_steps,300,25,28,7,10,5,5.73,5.7,16,AAPL,close
lstm_time_steps,600,91,28,1,10,1,2.4,4.61,74,AAPL,close
lstm_time_steps,600,85,28,7,10,5,5.14,10.22,20,AAPL,close
lstm_time_steps,900,151,28,1,10,1,2.1,3.14,124,AAPL,close
lstm_time_steps,900,145,28,7,10,5,5.09,7.42,25,AAPL,close
lstm_time_steps,300,56,3,1,40,4,2.1,3.46,28,AAPL,close
lstm_time_steps,300,50,3,7,40,5,4.78,8.14,15,AAPL,close
lstm_time_steps,600,116,3,1,40,4,2.09,4.62,37,AAPL,close
lstm_time_steps,600,110,3,7,40,5,4.28,6.51,28,AAPL,close
