algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,300,56,3,1,10,4,45.67,92.06,1,AMZN,close
lstm_lookback_window,300,50,3,7,10,5,83.93,276.51,1,AMZN,close
lstm_lookback_window,300,31,28,1,10,1,27.24,107.56,4,AMZN,close
lstm_lookback_window,300,25,28,7,10,5,47.57,146.38,1,AMZN,close
lstm_lookback_window,900,151,28,1,10,1,16.43,68.02,12,AMZN,close
lstm_lookback_window,900,145,28,7,10,5,33.37,163.82,3,AMZN,close
lstm_lookback_window,900,145,28,7,100,5,28.38,125.42,27,AMZN,close
lstm_lookback_window,300,56,3,1,10,4,45.63,91.9,2,AMZN,close
lstm_lookback_window,300,50,3,7,10,5,83.98,276.82,2,AMZN,close
lstm_lookback_window,600,116,3,1,10,4,15.18,27.81,4,AMZN,close
lstm_lookback_window,600,110,3,7,10,5,32.25,97.57,4,AMZN,close
lstm_lookback_window,900,176,3,1,10,4,13.71,30.77,5,AMZN,close
lstm_lookback_window,900,170,3,7,10,5,33.54,92.17,6,AMZN,close
lstm_lookback_window,300,52,7,1,10,4,41.33,115.68,4,AMZN,close
lstm_lookback_window,300,46,7,7,10,2,36.94,184.46,5,AMZN,close
lstm_lookback_window,600,112,7,1,10,4,19.84,42.47,9,AMZN,close
lstm_lookback_window,600,106,7,7,10,2,34.83,90.68,10,AMZN,close
lstm_lookback_window,900,172,7,1,10,4,19.8,111.66,12,AMZN,close
lstm_lookback_window,900,166,7,7,10,2,30.29,114.03,20,AMZN,close
lstm_lookback_window,300,45,14,1,10,5,28.42,69.36,6,AMZN,close
lstm_lookback_window,300,39,14,7,10,3,44.82,158.69,8,AMZN,close
lstm_lookback_window,600,105,14,1,10,5,28.78,61.72,14,AMZN,close
lstm_lookback_window,600,99,14,7,10,9,37.89,98.41,7,AMZN,close
lstm_lookback_window,900,165,14,1,10,5,18.32,74.48,9,AMZN,close
lstm_lookback_window,900,159,14,7,10,3,31.54,114.96,16,AMZN,close
lstm_lookback_window,300,31,28,1,10,1,21.4,55.0,15,AMZN,close
lstm_lookback_window,300,25,28,7,10,5,46.11,237.68,11,AMZN,close
lstm_lookback_window,600,91,28,1,10,1,19.56,100.95,31,AMZN,close
lstm_lookback_window,600,85,28,7,10,5,36.12,168.53,17,AMZN,close
lstm_lookback_window,900,151,28,1,10,1,19.1,52.61,44,AMZN,close
