algorithm,train_size,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,300,56,3,10,4,42.83,90.99,5,AMZN,close
lstm_lookback_window,600,116,3,10,4,22.22,36.85,4,AMZN,close
lstm_lookback_window,900,176,3,10,4,14.09,64.52,10,AMZN,close
lstm_lookback_window,300,52,7,10,4,20.34,47.36,5,AMZN,close
lstm_lookback_window,600,112,7,10,4,18.06,63.22,8,AMZN,close
lstm_lookback_window,900,172,7,10,4,21.6,67.77,12,AMZN,close
lstm_lookback_window,300,45,14,10,5,26.4,76.86,5,AMZN,close
lstm_lookback_window,600,105,14,10,5,26.12,71.61,6,AMZN,close
lstm_lookback_window,900,165,14,10,5,25.02,48.43,15,AMZN,close
lstm_lookback_window,300,31,28,10,1,27.02,68.68,21,AMZN,close
lstm_lookback_window,600,91,28,10,1,20.57,145.71,25,AMZN,close
lstm_lookback_window,900,151,28,10,1,18.88,49.64,63,AMZN,close
lstm_lookback_window,300,56,3,20,4,17.68,51.52,13,AMZN,close
lstm_lookback_window,600,116,3,20,4,17.65,31.39,23,AMZN,close
lstm_lookback_window,900,176,3,20,4,14.32,71.53,30,AMZN,close
lstm_lookback_window,300,52,7,20,4,20.62,54.76,21,AMZN,close
lstm_lookback_window,600,112,7,20,4,17.53,106.01,30,AMZN,close
lstm_lookback_window,900,172,7,20,4,16.74,78.61,29,AMZN,close
lstm_lookback_window,300,45,14,20,5,26.43,61.95,14,AMZN,close
lstm_lookback_window,600,105,14,20,5,21.3,49.0,16,AMZN,close
lstm_lookback_window,900,165,14,20,5,18.52,63.78,17,AMZN,close
lstm_lookback_window,300,31,28,20,1,23.89,46.33,25,AMZN,close
lstm_lookback_window,600,91,28,20,1,14.96,106.88,45,AMZN,close
lstm_lookback_window,900,151,28,20,1,22.67,74.22,71,AMZN,close
lstm_lookback_window,300,56,3,30,4,17.43,71.15,25,AMZN,close
lstm_lookback_window,600,116,3,30,4,15.58,37.74,22,AMZN,close
lstm_lookback_window,900,176,3,30,4,13.64,54.71,48,AMZN,close
lstm_lookback_window,300,52,7,30,4,20.01,59.55,26,AMZN,close
lstm_lookback_window,600,112,7,30,4,15.09,86.64,27,AMZN,close
lstm_lookback_window,900,172,7,30,4,13.46,58.91,43,AMZN,close
lstm_lookback_window,300,45,14,30,5,24.01,46.52,26,AMZN,close
lstm_lookback_window,600,105,14,30,5,20.09,151.87,33,AMZN,close
lstm_lookback_window,900,165,14,30,5,14.99,50.24,43,AMZN,close
lstm_lookback_window,300,31,28,30,1,19.55,59.84,68,AMZN,close
lstm_lookback_window,600,91,28,30,1,15.51,197.01,82,AMZN,close
lstm_lookback_window,900,151,28,30,1,12.53,110.28,136,AMZN,close
lstm_lookback_window,300,56,3,40,4,17.2,39.39,21,AMZN,close
lstm_lookback_window,600,116,3,40,4,14.58,74.63,54,AMZN,close
lstm_lookback_window,900,176,3,40,4,12.41,76.86,76,AMZN,close
lstm_lookback_window,300,52,7,40,4,22.85,49.62,49,AMZN,close
lstm_lookback_window,600,112,7,40,4,13.09,67.02,56,AMZN,close
lstm_lookback_window,900,172,7,40,4,17.01,206.07,60,AMZN,close
lstm_lookback_window,300,45,14,40,5,18.37,39.34,25,AMZN,close
lstm_lookback_window,600,105,14,40,5,15.34,90.19,49,AMZN,close
lstm_lookback_window,900,165,14,40,5,14.87,77.14,38,AMZN,close
lstm_lookback_window,300,31,28,40,1,17.69,58.82,76,AMZN,close
lstm_lookback_window,600,91,28,40,1,21.4,116.84,147,AMZN,close
lstm_lookback_window,900,151,28,40,1,14.77,104.75,139,AMZN,close
