algorithm,train_size,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,300,56,3,10,4,32.46,180.56,4,AMZN,close
lstm_stacked_memory,600,116,3,10,4,56.02,359.41,5,AMZN,close
lstm_stacked_memory,900,176,3,10,4,54.95,220.12,7,AMZN,close
lstm_stacked_memory,300,52,7,10,4,27.25,95.68,5,AMZN,close
lstm_stacked_memory,600,112,7,10,4,30.37,206.34,8,AMZN,close
lstm_stacked_memory,900,172,7,10,4,74.96,213.67,13,AMZN,close
lstm_stacked_memory,300,45,14,10,5,25.64,80.25,13,AMZN,close
lstm_stacked_memory,600,105,14,10,5,49.19,355.98,19,AMZN,close
lstm_stacked_memory,900,165,14,10,5,54.43,196.22,25,AMZN,close
lstm_stacked_memory,300,31,28,10,1,49.39,109.68,57,AMZN,close
lstm_stacked_memory,600,91,28,10,1,101.18,242.2,114,AMZN,close
lstm_stacked_memory,900,151,28,10,1,141.86,239.28,160,AMZN,close
lstm_stacked_memory,300,56,3,20,4,32.09,152.92,19,AMZN,close
lstm_stacked_memory,600,116,3,20,4,39.43,270.39,32,AMZN,close
lstm_stacked_memory,900,176,3,20,4,79.63,240.77,38,AMZN,close
lstm_stacked_memory,300,52,7,20,4,26.5,72.83,35,AMZN,close
lstm_stacked_memory,600,112,7,20,4,54.05,352.68,55,AMZN,close
lstm_stacked_memory,900,172,7,20,4,55.12,233.63,54,AMZN,close
lstm_stacked_memory,300,45,14,20,5,37.35,192.04,44,AMZN,close
lstm_stacked_memory,600,105,14,20,5,67.93,371.22,47,AMZN,close
lstm_stacked_memory,900,165,14,20,5,57.99,233.85,78,AMZN,close
lstm_stacked_memory,300,31,28,20,1,52.72,61.43,139,AMZN,close
lstm_stacked_memory,600,91,28,20,1,72.21,251.32,189,AMZN,close
lstm_stacked_memory,900,151,28,20,1,114.5,214.5,320,AMZN,close
lstm_stacked_memory,300,56,3,30,4,28.81,127.59,57,AMZN,close
lstm_stacked_memory,600,116,3,30,4,27.23,237.64,64,AMZN,close
lstm_stacked_memory,900,176,3,30,4,56.11,224.11,69,AMZN,close
lstm_stacked_memory,300,52,7,30,4,29.69,115.56,69,AMZN,close
lstm_stacked_memory,600,112,7,30,4,48.88,325.79,88,AMZN,close
lstm_stacked_memory,900,172,7,30,4,51.53,184.75,102,AMZN,close
lstm_stacked_memory,300,45,14,30,5,27.25,69.31,50,AMZN,close
lstm_stacked_memory,600,105,14,30,5,32.94,245.86,62,AMZN,close
lstm_stacked_memory,900,165,14,30,5,52.59,125.76,77,AMZN,close
lstm_stacked_memory,300,31,28,30,1,54.25,167.42,137,AMZN,close
lstm_stacked_memory,600,91,28,30,1,57.55,162.79,325,AMZN,close
lstm_stacked_memory,900,151,28,30,1,120.23,245.18,497,AMZN,close
lstm_stacked_memory,300,56,3,40,4,28.41,161.11,64,AMZN,close
lstm_stacked_memory,600,116,3,40,4,59.45,344.04,62,AMZN,close
lstm_stacked_memory,900,176,3,40,4,58.22,177.58,35,AMZN,close
lstm_stacked_memory,300,52,7,40,4,26.36,94.86,22,AMZN,close
lstm_stacked_memory,600,112,7,40,4,51.52,339.54,34,AMZN,close
lstm_stacked_memory,900,172,7,40,4,59.72,186.75,45,AMZN,close
lstm_stacked_memory,300,45,14,40,5,26.04,74.14,25,AMZN,close
lstm_stacked_memory,600,105,14,40,5,50.81,349.83,39,AMZN,close
lstm_stacked_memory,900,165,14,40,5,40.23,99.45,53,AMZN,close
lstm_stacked_memory,300,31,28,40,1,43.74,109.59,114,AMZN,close
lstm_stacked_memory,600,91,28,40,1,50.79,298.65,227,AMZN,close
lstm_stacked_memory,900,151,28,40,1,71.15,187.14,339,AMZN,close
