algorithm,train_size,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,300,56,3,10,4,20.53,76.63,3,AMZN,close
lstm_time_steps,600,116,3,10,4,17.23,50.13,5,AMZN,close
lstm_time_steps,900,176,3,10,4,12.95,59.41,10,AMZN,close
lstm_time_steps,300,52,7,10,4,21.66,54.97,5,AMZN,close
lstm_time_steps,600,112,7,10,4,18.32,35.49,12,AMZN,close
lstm_time_steps,900,172,7,10,4,18.88,88.05,11,AMZN,close
lstm_time_steps,300,45,14,10,5,23.99,54.35,8,AMZN,close
lstm_time_steps,600,105,14,10,5,22.08,127.74,9,AMZN,close
lstm_time_steps,900,165,14,10,5,17.84,109.63,17,AMZN,close
lstm_time_steps,300,31,28,10,1,26.98,92.93,41,AMZN,close
lstm_time_steps,600,91,28,10,1,26.52,241.68,85,AMZN,close
lstm_time_steps,900,151,28,10,1,21.42,102.99,123,AMZN,close
lstm_time_steps,300,56,3,20,4,17.07,35.88,12,AMZN,close
lstm_time_steps,600,116,3,20,4,15.51,33.44,22,AMZN,close
lstm_time_steps,900,176,3,20,4,14.4,81.11,25,AMZN,close
lstm_time_steps,300,52,7,20,4,19.0,41.93,9,AMZN,close
lstm_time_steps,600,112,7,20,4,17.54,195.53,18,AMZN,close
lstm_time_steps,900,172,7,20,4,15.61,65.44,25,AMZN,close
lstm_time_steps,300,45,14,20,5,31.49,163.26,11,AMZN,close
lstm_time_steps,600,105,14,20,5,21.61,183.55,28,AMZN,close
lstm_time_steps,900,165,14,20,5,22.18,95.55,29,AMZN,close
lstm_time_steps,300,31,28,20,1,22.06,99.69,72,AMZN,close
lstm_time_steps,600,91,28,20,1,16.49,71.61,132,AMZN,close
lstm_time_steps,900,151,28,20,1,15.67,34.51,242,AMZN,close
lstm_time_steps,300,56,3,30,4,17.4,40.88,11,AMZN,close
lstm_time_steps,600,116,3,30,4,14.26,142.03,22,AMZN,close
lstm_time_steps,900,176,3,30,4,14.41,74.8,49,AMZN,close
lstm_time_steps,300,52,7,30,4,24.35,84.15,24,AMZN,close
lstm_time_steps,600,112,7,30,4,19.32,166.07,44,AMZN,close
lstm_time_steps,900,172,7,30,4,15.29,121.73,47,AMZN,close
lstm_time_steps,300,45,14,30,5,23.4,72.17,20,AMZN,close
lstm_time_steps,600,105,14,30,5,19.25,227.37,46,AMZN,close
lstm_time_steps,900,165,14,30,5,13.65,30.37,64,AMZN,close
lstm_time_steps,300,31,28,30,1,17.17,81.53,139,AMZN,close
lstm_time_steps,600,91,28,30,1,17.04,93.68,182,AMZN,close
lstm_time_steps,900,151,28,30,1,11.45,39.25,297,AMZN,close
lstm_time_steps,300,56,3,40,4,19.79,44.49,24,AMZN,close
lstm_time_steps,600,116,3,40,4,16.96,91.55,25,AMZN,close
lstm_time_steps,900,176,3,40,4,15.04,110.7,44,AMZN,close
lstm_time_steps,300,52,7,40,4,20.23,44.53,22,AMZN,close
lstm_time_steps,600,112,7,40,4,17.31,216.4,33,AMZN,close
lstm_time_steps,900,172,7,40,4,18.3,101.98,56,AMZN,close
lstm_time_steps,300,45,14,40,5,22.72,57.9,19,AMZN,close
lstm_time_steps,600,105,14,40,5,15.17,89.05,49,AMZN,close
lstm_time_steps,900,165,14,40,5,16.26,88.59,73,AMZN,close
lstm_time_steps,300,31,28,40,1,18.67,61.42,150,AMZN,close
lstm_time_steps,600,91,28,40,1,10.84,39.38,313,AMZN,close
lstm_time_steps,900,151,28,40,1,10.7,29.9,481,AMZN,close
