algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,600,116,3,1,50,4,15.99,96.3,17,AMZN,close
lstm_time_steps,600,110,3,7,50,5,31.4,93.65,14,AMZN,close
lstm_time_steps,900,176,3,1,50,4,15.2,64.45,21,AMZN,close
lstm_time_steps,900,170,3,7,50,5,27.64,112.62,17,AMZN,close
lstm_time_steps,1200,236,3,1,50,4,11.15,61.21,27,AMZN,close
lstm_time_steps,1200,230,3,7,50,5,24.98,130.92,22,AMZN,close
lstm_time_steps,1500,296,3,1,50,4,11.94,77.56,33,AMZN,close
lstm_time_steps,1500,290,3,7,50,5,21.56,112.2,28,AMZN,close
lstm_time_steps,600,112,7,1,50,4,19.0,63.25,23,AMZN,close
lstm_time_steps,600,106,7,7,50,2,34.05,127.41,43,AMZN,close
lstm_time_steps,900,172,7,1,50,4,16.63,95.04,33,AMZN,close
lstm_time_steps,900,166,7,7,50,2,27.38,86.86,61,AMZN,close
lstm_time_steps,1200,232,7,1,50,4,13.35,71.57,43,AMZN,close
lstm_time_steps,1200,226,7,7,50,2,24.71,63.55,84,AMZN,close
lstm_time_steps,1500,292,7,1,50,4,10.07,44.79,54,AMZN,close
lstm_time_steps,1500,286,7,7,50,2,22.25,110.01,118,AMZN,close
lstm_time_steps,600,105,14,1,50,5,17.17,96.01,35,AMZN,close
lstm_time_steps,600,99,14,7,50,9,33.38,148.91,21,AMZN,close
lstm_time_steps,900,165,14,1,50,5,17.13,71.55,49,AMZN,close
lstm_time_steps,900,159,14,7,50,3,28.08,130.85,76,AMZN,close
lstm_time_steps,1200,225,14,1,50,15,11.91,47.56,25,AMZN,close
lstm_time_steps,1200,219,14,7,50,3,25.56,67.12,100,AMZN,close
lstm_time_steps,1500,285,14,1,50,15,14.82,201.8,29,AMZN,close
lstm_time_steps,1500,279,14,7,50,9,24.87,171.02,49,AMZN,close
lstm_time_steps,600,91,28,1,50,1,12.88,46.82,246,AMZN,close
lstm_time_steps,600,85,28,7,50,5,30.56,179.19,57,AMZN,close
lstm_time_steps,900,151,28,1,50,1,11.84,35.99,394,AMZN,close
lstm_time_steps,900,145,28,7,50,5,29.14,103.63,82,AMZN,close
lstm_time_steps,1200,211,28,1,50,1,9.57,42.72,501,AMZN,close
lstm_time_steps,1200,205,28,7,50,5,25.61,64.24,105,AMZN,close
lstm_time_steps,1500,271,28,1,50,1,9.34,42.7,625,AMZN,close
lstm_time_steps,1500,265,28,7,50,5,22.43,70.58,141,AMZN,close
lstm_time_steps,600,116,3,1,100,4,17.27,27.57,45,AMZN,close
lstm_time_steps,600,110,3,7,100,5,31.29,101.0,38,AMZN,close
lstm_time_steps,900,176,3,1,100,4,12.69,63.43,62,AMZN,close
lstm_time_steps,900,170,3,7,100,5,27.04,92.33,50,AMZN,close
lstm_time_steps,1200,236,3,1,100,4,9.47,22.16,72,AMZN,close
lstm_time_steps,1200,230,3,7,100,5,24.58,87.09,62,AMZN,close
lstm_time_steps,1500,296,3,1,100,4,9.65,66.82,91,AMZN,close
lstm_time_steps,1500,290,3,7,100,5,21.59,107.88,75,AMZN,close
lstm_time_steps,600,112,7,1,100,4,12.9,31.16,60,AMZN,close
lstm_time_steps,600,106,7,7,100,2,32.53,172.63,107,AMZN,close
lstm_time_steps,900,172,7,1,100,4,15.85,27.85,85,AMZN,close
lstm_time_steps,900,166,7,7,100,2,27.36,67.62,155,AMZN,close
lstm_time_steps,1200,232,7,1,100,4,12.09,23.35,111,AMZN,close
lstm_time_steps,1200,226,7,7,100,2,25.36,53.14,202,AMZN,close
lstm_time_steps,1500,292,7,1,100,4,8.66,39.34,135,AMZN,close
lstm_time_steps,1500,286,7,7,100,2,21.42,90.92,252,AMZN,close
lstm_time_steps,600,105,14,1,100,5,17.49,100.85,73,AMZN,close
lstm_time_steps,600,99,14,7,100,9,32.6,181.24,46,AMZN,close
lstm_time_steps,900,165,14,1,100,5,12.9,27.57,116,AMZN,close
lstm_time_steps,900,159,14,7,100,3,27.15,86.09,174,AMZN,close
lstm_time_steps,1200,225,14,1,100,15,13.7,86.45,52,AMZN,close
lstm_time_steps,1200,219,14,7,100,3,24.24,72.47,217,AMZN,close
lstm_time_steps,1500,285,14,1,100,15,12.93,105.73,65,AMZN,close
lstm_time_steps,1500,279,14,7,100,9,22.61,142.57,102,AMZN,close
lstm_time_steps,600,91,28,1,100,1,12.44,35.6,509,AMZN,close
lstm_time_steps,600,85,28,7,100,5,30.13,209.34,116,AMZN,close
lstm_time_steps,900,151,28,1,100,1,12.77,25.9,811,AMZN,close
lstm_time_steps,900,145,28,7,100,5,27.8,78.74,174,AMZN,close
lstm_time_steps,1200,211,28,1,100,1,11.99,53.15,1084,AMZN,close
lstm_time_steps,1200,205,28,7,100,5,24.83,61.72,240,AMZN,close
lstm_time_steps,1500,271,28,1,100,1,8.73,37.72,1322,AMZN,close
lstm_time_steps,1500,265,28,7,100,5,21.81,87.36,276,AMZN,close
