algorithm,no_of_days,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,600,116,3,10,4,2.6,4.58,14,BABA,close
lstm_lookback_window,900,176,3,30,4,2.23,4.66,43,BABA,close
lstm_lookback_window,600,112,7,40,4,2.34,4.75,55,BABA,close
lstm_lookback_window,300,56,3,40,4,3.43,4.89,40,BABA,close
lstm_lookback_window,600,116,3,30,4,2.55,4.94,24,BABA,close
lstm_lookback_window,900,176,3,20,4,2.39,4.99,43,BABA,close
lstm_lookback_window,300,52,7,30,4,3.89,4.99,13,BABA,close
lstm_lookback_window,300,56,3,30,4,3.87,5.08,14,BABA,close
lstm_lookback_window,300,56,3,20,4,3.68,5.3,23,BABA,close
lstm_lookback_window,600,116,3,40,4,2.52,5.34,77,BABA,close
lstm_lookback_window,300,52,7,10,4,4.34,5.38,14,BABA,close
lstm_lookback_window,600,116,3,20,4,2.88,5.42,35,BABA,close
lstm_lookback_window,900,176,3,40,4,1.95,5.58,63,BABA,close
lstm_lookback_window,300,52,7,20,4,4.28,5.7,10,BABA,close
lstm_lookback_window,900,165,14,30,5,2.2,5.77,34,BABA,close
lstm_lookback_window,300,45,14,40,5,4.12,5.83,31,BABA,close
lstm_lookback_window,300,52,7,40,4,4.43,5.84,35,BABA,close
lstm_lookback_window,900,172,7,20,4,2.6,5.86,28,BABA,close
lstm_lookback_window,900,165,14,20,5,2.56,5.86,35,BABA,close
lstm_lookback_window,600,112,7,30,4,2.66,6.01,32,BABA,close
lstm_lookback_window,300,56,3,10,4,9.52,6.17,8,BABA,close
lstm_lookback_window,300,31,28,40,1,3.73,6.22,87,BABA,close
lstm_lookback_window,900,151,28,10,1,2.51,6.29,61,BABA,close
lstm_lookback_window,900,172,7,30,4,2.02,6.5,48,BABA,close
lstm_lookback_window,600,112,7,10,4,2.99,6.54,16,BABA,close
lstm_lookback_window,300,45,14,30,5,4.73,6.63,29,BABA,close
lstm_lookback_window,600,105,14,40,5,2.81,6.66,47,BABA,close
lstm_lookback_window,600,91,28,40,1,2.76,6.75,137,BABA,close
lstm_lookback_window,600,112,7,20,4,2.97,6.79,26,BABA,close
lstm_lookback_window,300,31,28,20,1,4.6,6.84,40,BABA,close
lstm_lookback_window,600,105,14,20,5,3.19,6.85,21,BABA,close
lstm_lookback_window,600,91,28,10,1,2.88,7.08,38,BABA,close
lstm_lookback_window,900,176,3,10,4,2.32,7.19,19,BABA,close
lstm_lookback_window,600,105,14,10,5,3.8,7.23,10,BABA,close
lstm_lookback_window,600,91,28,20,1,2.58,7.27,69,BABA,close
lstm_lookback_window,600,105,14,30,5,3.38,7.32,34,BABA,close
lstm_lookback_window,900,172,7,10,4,3.52,7.36,14,BABA,close
lstm_lookback_window,900,151,28,20,1,2.21,7.4,73,BABA,close
lstm_lookback_window,300,31,28,30,1,4.21,7.4,74,BABA,close
lstm_lookback_window,300,45,14,10,5,5.09,7.93,9,BABA,close
lstm_lookback_window,300,45,14,20,5,5.28,7.93,20,BABA,close
lstm_lookback_window,600,91,28,30,1,2.67,8,111,BABA,close
lstm_lookback_window,300,31,28,10,1,4.74,8.27,30,BABA,close
lstm_lookback_window,900,165,14,40,5,2.89,8.39,62,BABA,close
lstm_lookback_window,900,151,28,30,1,2,9.31,212,BABA,close
lstm_lookback_window,900,151,28,40,1,1.98,11.17,104,BABA,close
lstm_lookback_window,900,165,14,10,5,3.95,12.31,21,BABA,close
lstm_lookback_window,900,172,7,40,4,2.27,16.81,51,BABA,close
