algorithm,no_of_days,test_size,loopback,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,300,56,3,10,4,6.09,22.31,5,BABA,close
lstm_stacked_memory,600,116,3,10,4,5.92,23.56,11,BABA,close
lstm_stacked_memory,900,176,3,10,4,11.76,17.93,18,BABA,close
lstm_stacked_memory,300,52,7,10,4,5.73,11.18,5,BABA,close
lstm_stacked_memory,600,112,7,10,4,7.74,11,15,BABA,close
lstm_stacked_memory,900,172,7,10,4,13.96,16.16,23,BABA,close
lstm_stacked_memory,300,45,14,10,5,5.43,7.49,8,BABA,close
lstm_stacked_memory,600,105,14,10,5,4.08,8.36,29,BABA,close
lstm_stacked_memory,900,165,14,10,5,11.03,19.03,23,BABA,close
lstm_stacked_memory,300,31,28,10,1,7.47,11.02,75,BABA,close
lstm_stacked_memory,600,91,28,10,1,13.31,10.8,113,BABA,close
lstm_stacked_memory,900,151,28,10,1,45.65,22.26,196,BABA,close
lstm_stacked_memory,300,56,3,20,4,6.35,20.1,31,BABA,close
lstm_stacked_memory,600,116,3,20,4,8.33,17.81,45,BABA,close
lstm_stacked_memory,900,176,3,20,4,13.14,15.09,53,BABA,close
lstm_stacked_memory,300,52,7,20,4,7.71,14.59,47,BABA,close
lstm_stacked_memory,600,112,7,20,4,5.08,11.08,59,BABA,close
lstm_stacked_memory,900,172,7,20,4,10.79,19.73,59,BABA,close
lstm_stacked_memory,300,45,14,20,5,7.78,13.93,29,BABA,close
lstm_stacked_memory,600,105,14,20,5,7.29,10.24,45,BABA,close
lstm_stacked_memory,900,165,14,20,5,11.77,13.43,60,BABA,close
lstm_stacked_memory,300,31,28,20,1,9.88,15.8,118,BABA,close
lstm_stacked_memory,600,91,28,20,1,10.63,11.04,222,BABA,close
lstm_stacked_memory,900,151,28,20,1,29.35,17.03,374,BABA,close
lstm_stacked_memory,300,56,3,30,4,9.86,20.03,66,BABA,close
lstm_stacked_memory,600,116,3,30,4,7,17.24,77,BABA,close
lstm_stacked_memory,900,176,3,30,4,10.64,16.36,72,BABA,close
lstm_stacked_memory,300,52,7,30,4,6.3,15.93,65,BABA,close
lstm_stacked_memory,600,112,7,30,4,8.02,10.15,92,BABA,close
lstm_stacked_memory,900,172,7,30,4,11.01,10.45,118,BABA,close
lstm_stacked_memory,300,45,14,30,5,6.17,9.6,72,BABA,close
lstm_stacked_memory,600,105,14,30,5,5.96,8.01,41,BABA,close
lstm_stacked_memory,900,165,14,30,5,11.63,15.15,58,BABA,close
lstm_stacked_memory,300,31,28,30,1,6.17,9.45,90,BABA,close
lstm_stacked_memory,600,91,28,30,1,5.26,7.82,172,BABA,close
lstm_stacked_memory,900,151,28,30,1,22.9,16.25,263,BABA,close
lstm_stacked_memory,300,56,3,40,4,6.15,19.92,18,BABA,close
lstm_stacked_memory,600,116,3,40,4,6.14,16.44,26,BABA,close
lstm_stacked_memory,900,176,3,40,4,10.46,10.64,34,BABA,close
lstm_stacked_memory,300,52,7,40,4,6.09,11.08,23,BABA,close
lstm_stacked_memory,600,112,7,40,4,7.95,8.63,33,BABA,close
lstm_stacked_memory,900,172,7,40,4,11.76,8.63,47,BABA,close
lstm_stacked_memory,300,45,14,40,5,5.75,8.3,25,BABA,close
lstm_stacked_memory,600,105,14,40,5,5.62,7.11,39,BABA,close
lstm_stacked_memory,900,165,14,40,5,9.85,7.2,53,BABA,close
lstm_stacked_memory,300,31,28,40,1,6.99,11.5,128,BABA,close
lstm_stacked_memory,600,91,28,40,1,7.99,10.16,254,BABA,close
lstm_stacked_memory,900,151,28,40,1,18.29,10.76,382,BABA,close
