algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_stacked_memory,300,56,3,1,10,4,26.82,70.8,4,GOOGL,close
lstm_stacked_memory,300,50,3,7,10,5,41.79,99.58,5,GOOGL,close
lstm_stacked_memory,600,116,3,1,10,4,21.21,82.22,7,GOOGL,close
lstm_stacked_memory,600,110,3,7,10,5,32.86,106.37,8,GOOGL,close
lstm_stacked_memory,900,176,3,1,10,4,62.78,72.63,13,GOOGL,close
lstm_stacked_memory,900,170,3,7,10,5,63.79,72.41,13,GOOGL,close
lstm_stacked_memory,1200,236,3,1,10,4,43.27,42.31,22,GOOGL,close
lstm_stacked_memory,1200,230,3,7,10,5,77.09,76.72,18,GOOGL,close
lstm_stacked_memory,1500,296,3,1,10,4,46.08,40.95,23,GOOGL,close
lstm_stacked_memory,1500,290,3,7,10,5,69.5,84.43,23,GOOGL,close
lstm_stacked_memory,300,52,7,1,10,4,20.59,52.48,18,GOOGL,close
lstm_stacked_memory,300,46,7,7,10,2,39.55,70.22,22,GOOGL,close
lstm_stacked_memory,600,112,7,1,10,4,19.27,67.37,23,GOOGL,close
lstm_stacked_memory,600,106,7,7,10,2,48.2,75.72,29,GOOGL,close
lstm_stacked_memory,900,172,7,1,10,4,42.31,92.25,27,GOOGL,close
lstm_stacked_memory,900,166,7,7,10,2,108.68,100.45,39,GOOGL,close
lstm_stacked_memory,1200,232,7,1,10,4,49.83,37.03,29,GOOGL,close
lstm_stacked_memory,1200,226,7,7,10,2,78.14,69.81,57,GOOGL,close
lstm_stacked_memory,1500,292,7,1,10,4,49.13,37.79,42,GOOGL,close
lstm_stacked_memory,1500,286,7,7,10,2,78.78,88.21,71,GOOGL,close
lstm_stacked_memory,300,45,14,1,10,5,26.38,53.77,38,GOOGL,close
lstm_stacked_memory,300,39,14,7,10,3,38.79,65.47,32,GOOGL,close
lstm_stacked_memory,600,105,14,1,10,5,23.33,76.81,40,GOOGL,close
lstm_stacked_memory,600,99,14,7,10,9,29.0,80.67,48,GOOGL,close
lstm_stacked_memory,900,165,14,1,10,5,52.09,49.11,44,GOOGL,close
lstm_stacked_memory,900,159,14,7,10,3,82.43,77.01,79,GOOGL,close
lstm_stacked_memory,1200,225,14,1,10,15,63.78,54.73,49,GOOGL,close
lstm_stacked_memory,1200,219,14,7,10,3,81.56,74.1,63,GOOGL,close
lstm_stacked_memory,1500,285,14,1,10,15,47.98,37.49,55,GOOGL,close
lstm_stacked_memory,1500,279,14,7,10,9,66.88,55.13,68,GOOGL,close
lstm_stacked_memory,300,31,28,1,10,1,48.37,99.33,76,GOOGL,close
lstm_stacked_memory,300,25,28,7,10,5,41.56,41.97,50,GOOGL,close
lstm_stacked_memory,600,91,28,1,10,1,51.46,47.56,150,GOOGL,close
lstm_stacked_memory,600,85,28,7,10,5,31.82,132.88,65,GOOGL,close
lstm_stacked_memory,900,151,28,1,10,1,84.63,74.92,199,GOOGL,close
lstm_stacked_memory,900,145,28,7,10,5,64.84,57.54,67,GOOGL,close
lstm_stacked_memory,1200,211,28,1,10,1,111.1,96.6,227,GOOGL,close
lstm_stacked_memory,1200,205,28,7,10,5,81.0,79.96,76,GOOGL,close
lstm_stacked_memory,1500,271,28,1,10,1,91.54,138.6,278,GOOGL,close
lstm_stacked_memory,1500,265,28,7,10,5,65.9,70.4,89,GOOGL,close
lstm_stacked_memory,300,29,30,1,10,1,44.24,85.94,59,GOOGL,close
lstm_stacked_memory,300,23,30,7,10,1,64.03,141.23,40,GOOGL,close
lstm_stacked_memory,600,89,30,1,10,1,54.65,57.65,72,GOOGL,close
lstm_stacked_memory,600,83,30,7,10,1,72.43,89.77,72,GOOGL,close
lstm_stacked_memory,900,149,30,1,10,1,82.52,76.51,107,GOOGL,close
lstm_stacked_memory,900,143,30,7,10,1,115.19,96.32,112,GOOGL,close
lstm_stacked_memory,1200,209,30,1,10,1,95.65,90.04,159,GOOGL,close
lstm_stacked_memory,1200,203,30,7,10,1,129.86,135.82,146,GOOGL,close
lstm_stacked_memory,1500,269,30,1,10,1,78.7,126.61,175,GOOGL,close
lstm_stacked_memory,1500,263,30,7,10,1,94.15,133.6,177,GOOGL,close
lstm_stacked_memory,300,56,3,1,40,4,20.01,74.05,13,GOOGL,close
lstm_stacked_memory,300,50,3,7,40,5,31.95,92.47,12,GOOGL,close
lstm_stacked_memory,600,116,3,1,40,4,18.9,68.01,31,GOOGL,close
lstm_stacked_memory,600,110,3,7,40,5,30.34,104.78,26,GOOGL,close
lstm_stacked_memory,900,176,3,1,40,4,49.85,66.05,44,GOOGL,close
lstm_stacked_memory,900,170,3,7,40,5,44.2,72.86,40,GOOGL,close
lstm_stacked_memory,1200,236,3,1,40,4,31.41,33.26,64,GOOGL,close
lstm_stacked_memory,1200,230,3,7,40,5,62.57,46.21,58,GOOGL,close
lstm_stacked_memory,1500,296,3,1,40,4,29.17,21.58,79,GOOGL,close
lstm_stacked_memory,1500,290,3,7,40,5,57.79,63.14,71,GOOGL,close
lstm_stacked_memory,300,52,7,1,40,4,17.58,43.53,36,GOOGL,close
lstm_stacked_memory,300,46,7,7,40,2,32.31,78.44,56,GOOGL,close
lstm_stacked_memory,600,112,7,1,40,4,20.08,64.03,64,GOOGL,close
lstm_stacked_memory,600,106,7,7,40,2,32.63,104.32,94,GOOGL,close
lstm_stacked_memory,900,172,7,1,40,4,45.37,89.85,104,GOOGL,close
lstm_stacked_memory,900,166,7,7,40,2,78.51,94.7,140,GOOGL,close
lstm_stacked_memory,1200,232,7,1,40,4,34.44,44.84,101,GOOGL,close
lstm_stacked_memory,1200,226,7,7,40,2,64.76,55.97,174,GOOGL,close
lstm_stacked_memory,1500,292,7,1,40,4,33.21,46.45,125,GOOGL,close
lstm_stacked_memory,1500,286,7,7,40,2,59.59,58.22,231,GOOGL,close
lstm_stacked_memory,300,45,14,1,40,5,21.39,63.42,55,GOOGL,close
lstm_stacked_memory,300,39,14,7,40,3,31.18,100.89,74,GOOGL,close
lstm_stacked_memory,600,105,14,1,40,5,22.53,69.91,98,GOOGL,close
lstm_stacked_memory,600,99,14,7,40,9,27.07,83.46,56,GOOGL,close
lstm_stacked_memory,900,165,14,1,40,5,48.28,46.75,119,GOOGL,close
lstm_stacked_memory,900,159,14,7,40,3,63.27,75.74,179,GOOGL,close
lstm_stacked_memory,1200,225,14,1,40,15,40.1,31.3,78,GOOGL,close
lstm_stacked_memory,1200,219,14,7,40,3,65.17,75.68,231,GOOGL,close
lstm_stacked_memory,1500,285,14,1,40,15,31.44,31.67,71,GOOGL,close
lstm_stacked_memory,1500,279,14,7,40,9,54.26,43.29,102,GOOGL,close
lstm_stacked_memory,300,31,28,1,40,1,25.07,55.23,205,GOOGL,close
lstm_stacked_memory,300,25,28,7,40,5,28.12,126.11,78,GOOGL,close
lstm_stacked_memory,600,91,28,1,40,1,25.69,68.63,435,GOOGL,close
lstm_stacked_memory,600,85,28,7,40,5,28.29,131.74,119,GOOGL,close
lstm_stacked_memory,900,151,28,1,40,1,45.35,54.97,696,GOOGL,close
lstm_stacked_memory,900,145,28,7,40,5,52.78,54.33,151,GOOGL,close
