algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,300,56,3,1,10,4,16.68,25.48,2,GOOGL,close
lstm_time_steps,300,50,3,7,10,5,56.58,70.86,3,GOOGL,close
lstm_time_steps,600,116,3,1,10,4,12,24.15,5,GOOGL,close
lstm_time_steps,600,110,3,7,10,5,25.81,51.05,3,GOOGL,close
lstm_time_steps,900,176,3,1,10,4,14.89,24.57,7,GOOGL,close
lstm_time_steps,900,170,3,7,10,5,28.07,44.13,6,GOOGL,close
lstm_time_steps,1200,236,3,1,10,4,25.8,17.98,10,GOOGL,close
lstm_time_steps,1200,230,3,7,10,5,59.2,41.32,8,GOOGL,close
lstm_time_steps,1500,296,3,1,10,4,22.95,15.96,16,GOOGL,close
lstm_time_steps,1500,290,3,7,10,5,53.72,39.89,14,GOOGL,close
lstm_time_steps,300,52,7,1,10,4,16.7,29,7,GOOGL,close
lstm_time_steps,300,46,7,7,10,2,30.3,57.16,11,GOOGL,close
lstm_time_steps,600,112,7,1,10,4,13.86,28.04,9,GOOGL,close
lstm_time_steps,600,106,7,7,10,2,26.68,51.59,18,GOOGL,close
lstm_time_steps,900,172,7,1,10,4,18.14,53.75,12,GOOGL,close
lstm_time_steps,900,166,7,7,10,2,28.98,58.13,20,GOOGL,close
lstm_time_steps,1200,232,7,1,10,4,34.35,24.92,14,GOOGL,close
lstm_time_steps,1200,226,7,7,10,2,62.18,53.39,27,GOOGL,close
lstm_time_steps,1500,292,7,1,10,4,37.88,27.78,21,GOOGL,close
lstm_time_steps,1500,286,7,7,10,2,55.72,46.43,36,GOOGL,close
lstm_time_steps,300,45,14,1,10,5,22.15,39.03,5,GOOGL,close
lstm_time_steps,300,39,14,7,10,3,41.82,52.82,12,GOOGL,close
lstm_time_steps,600,105,14,1,10,5,13.82,30.93,13,GOOGL,close
lstm_time_steps,600,99,14,7,10,9,27.7,77.5,15,GOOGL,close
lstm_time_steps,900,165,14,1,10,5,19.44,74.06,14,GOOGL,close
lstm_time_steps,900,159,14,7,10,3,29.91,42.98,29,GOOGL,close
lstm_time_steps,1200,225,14,1,10,15,39.49,28.18,12,GOOGL,close
lstm_time_steps,1200,219,14,7,10,3,65.66,45.53,44,GOOGL,close
lstm_time_steps,1500,285,14,1,10,15,25.17,19.98,11,GOOGL,close
lstm_time_steps,1500,279,14,7,10,9,57.49,41.36,26,GOOGL,close
lstm_time_steps,300,31,28,1,10,1,16.9,53.86,37,GOOGL,close
lstm_time_steps,300,25,28,7,10,5,29.45,80.85,23,GOOGL,close
lstm_time_steps,600,91,28,1,10,1,14.26,31.55,69,GOOGL,close
lstm_time_steps,600,85,28,7,10,5,26.95,117.52,21,GOOGL,close
lstm_time_steps,900,151,28,1,10,1,14.09,31.75,106,GOOGL,close
lstm_time_steps,900,145,28,7,10,5,32.06,55.76,26,GOOGL,close
lstm_time_steps,1200,211,28,1,10,1,25.89,18.65,149,GOOGL,close
lstm_time_steps,1200,205,28,7,10,5,67.43,43.4,33,GOOGL,close
lstm_time_steps,1500,271,28,1,10,1,21.89,15.61,183,GOOGL,close
lstm_time_steps,1500,265,28,7,10,5,59.29,41.43,49,GOOGL,close
lstm_time_steps,300,29,30,1,10,1,12.26,28.05,46,GOOGL,close
lstm_time_steps,300,23,30,7,10,1,29.69,74.52,41,GOOGL,close
lstm_time_steps,600,89,30,1,10,1,16.68,56.24,101,GOOGL,close
lstm_time_steps,600,83,30,7,10,1,26.92,106.39,92,GOOGL,close
lstm_time_steps,900,149,30,1,10,1,15.23,38.75,136,GOOGL,close
lstm_time_steps,900,143,30,7,10,1,27.69,52,128,GOOGL,close
lstm_time_steps,1200,209,30,1,10,1,25.79,18.17,171,GOOGL,close
lstm_time_steps,1200,203,30,7,10,1,59.02,54.08,168,GOOGL,close
lstm_time_steps,1500,269,30,1,10,1,24.49,20.07,219,GOOGL,close
lstm_time_steps,1500,263,30,7,10,1,54.75,39.98,193,GOOGL,close
lstm_time_steps,300,56,3,1,40,4,12.82,27.38,11,GOOGL,close
lstm_time_steps,300,50,3,7,40,5,28.44,62.62,7,GOOGL,close
lstm_time_steps,600,116,3,1,40,4,11.98,25.26,19,GOOGL,close
lstm_time_steps,600,110,3,7,40,5,25.95,53,23,GOOGL,close
lstm_time_steps,900,176,3,1,40,4,12.52,21.44,32,GOOGL,close
lstm_time_steps,900,170,3,7,40,5,27.77,64.99,30,GOOGL,close
lstm_time_steps,1200,236,3,1,40,4,22.85,15.82,47,GOOGL,close
lstm_time_steps,1200,230,3,7,40,5,57.59,41.02,37,GOOGL,close
lstm_time_steps,1500,296,3,1,40,4,21.81,15.47,62,GOOGL,close
lstm_time_steps,1500,290,3,7,40,5,53.16,40.24,50,GOOGL,close
lstm_time_steps,300,52,7,1,40,4,15.16,33.2,23,GOOGL,close
lstm_time_steps,300,46,7,7,40,2,28.36,74.43,34,GOOGL,close
lstm_time_steps,600,112,7,1,40,4,12.08,24.62,37,GOOGL,close
lstm_time_steps,600,106,7,7,40,2,26.2,55.62,62,GOOGL,close
lstm_time_steps,900,172,7,1,40,4,13.29,24.67,49,GOOGL,close
lstm_time_steps,900,166,7,7,40,2,28.64,51.42,97,GOOGL,close
lstm_time_steps,1200,232,7,1,40,4,26.11,19.9,71,GOOGL,close
lstm_time_steps,1200,226,7,7,40,2,57.71,42.18,143,GOOGL,close
lstm_time_steps,1500,292,7,1,40,4,21.37,15.14,93,GOOGL,close
lstm_time_steps,1500,286,7,7,40,2,51.89,49.91,156,GOOGL,close
lstm_time_steps,300,45,14,1,40,5,15.29,42.76,21,GOOGL,close
lstm_time_steps,300,39,14,7,40,3,28.34,94.14,39,GOOGL,close
lstm_time_steps,600,105,14,1,40,5,15.07,46.45,53,GOOGL,close
lstm_time_steps,600,99,14,7,40,9,26.73,86.3,33,GOOGL,close
lstm_time_steps,900,165,14,1,40,5,13.75,26.29,52,GOOGL,close
lstm_time_steps,900,159,14,7,40,3,27.6,50.49,106,GOOGL,close
lstm_time_steps,1200,225,14,1,40,15,29.94,21.34,34,GOOGL,close
lstm_time_steps,1200,219,14,7,40,3,56.93,64.38,147,GOOGL,close
lstm_time_steps,1500,285,14,1,40,15,32.89,22.19,37,GOOGL,close
lstm_time_steps,1500,279,14,7,40,9,53.39,41.95,60,GOOGL,close
lstm_time_steps,300,31,28,1,40,1,12.47,24.31,150,GOOGL,close
lstm_time_steps,300,25,28,7,40,5,27.68,124.33,30,GOOGL,close
lstm_time_steps,600,91,28,1,40,1,9.51,21.53,309,GOOGL,close
lstm_time_steps,600,85,28,7,40,5,25.86,55.17,73,GOOGL,close
lstm_time_steps,900,151,28,1,40,1,10.3,19.73,457,GOOGL,close
lstm_time_steps,900,145,28,7,40,5,27.89,48.09,82,GOOGL,close
lstm_time_steps,1200,211,28,1,40,1,21.37,15.53,659,GOOGL,close
lstm_time_steps,1200,205,28,7,40,5,55.44,46.01,127,GOOGL,close
